book,bookLabel,authorLabel,genres,firstPublication,sco_uri
http://www.wikidata.org/entity/Q465360,A Portrait of the Artist as a Young Man,James Joyce,Bildungsroman;Künstlerroman;autobiographical novel,1916-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/joyce-portrait-artist-young/
http://www.wikidata.org/entity/Q4759428,Androcles and the Lion,George Bernard Shaw,comedy,1914-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/shaw-androcles-lion/
http://www.wikidata.org/entity/Q5095740,Chicago Poems,Carl Sandburg,poetry,,https://shakespeareandco.princeton.edu/books/sandburg-chicago-poems/
http://www.wikidata.org/entity/Q5604315,Greenmantle,John Buchan,adventure novel;war novel,1916-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/buchan-greenmantle/
http://www.wikidata.org/entity/Q12062136,Mr. Britling Sees It Through,H. G. Wells,novel,1916-09-01 00:00:00,https://shakespeareandco.princeton.edu/books/wells-mr-britling-sees/
http://www.wikidata.org/entity/Q7315978,Responsibilities and Other Poems,William Butler Yeats,,,https://shakespeareandco.princeton.edu/books/yeats-responsibilities-poems/
http://www.wikidata.org/entity/Q472228,The Mysterious Affair at Styles,Agatha Christie,detective novel,1920-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/christie-mysterious-affair-styles/
http://www.wikidata.org/entity/Q7773135,The Voysey Inheritance,Harley Granville-Barker,,1905-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/granville-barker-voysey-inheritance/
http://www.wikidata.org/entity/Q7884156,Uneasy Money,P. G. Wodehouse,novel,1916-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/wodehouse-uneasy-money/
http://www.wikidata.org/entity/Q8024852,Windy McPherson's Son,Sherwood Anderson,novel,1916-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/anderson-windy-mcphersons/
http://www.wikidata.org/entity/Q5433995,Fanny's First Play,George Bernard Shaw,,,https://shakespeareandco.princeton.edu/books/shaw-fannys-first-play/
http://www.wikidata.org/entity/Q6757004,Marching Men,Sherwood Anderson,novel,1917-09-01 00:00:00,https://shakespeareandco.princeton.edu/books/anderson-marching-men/
http://www.wikidata.org/entity/Q84629191,Nationalism,Rabindranath Tagore,,1917-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/tagore-nationalism/
http://www.wikidata.org/entity/Q7308395,Regiment of Women,Clemence Dane,LGBT literature;novel,1917-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/dane-regiment-women/
http://www.wikidata.org/entity/Q1236743,South Wind,Norman Douglas,novel,1917-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/douglas-south-wind/
http://www.wikidata.org/entity/Q2418554,The Lady with the Dog,Anton Chekhov,short story,1899-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/chekhov-lady-dog/
http://www.wikidata.org/entity/Q3936679,The Sense of the Past,Henry James,comedy of manners;chuanyue,1917-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/james-sense-past/
http://www.wikidata.org/entity/Q7765370,The Soul of a Bishop,H. G. Wells,novel,1917-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/wells-soul-bishop/
http://www.wikidata.org/entity/Q7774902,The Wild Swans at Coole,William Butler Yeats,,,https://shakespeareandco.princeton.edu/books/yeats-wild-swans-coole/
http://www.wikidata.org/entity/Q19022360,A Hundred and Seventy Chinese Poems,,,1919-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/hundred-seventy-chinese/
http://www.wikidata.org/entity/Q1605244,Adolphe,Benjamin Constant,autobiographical novel,1816-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/constant-adolphe/
http://www.wikidata.org/entity/Q2297900,Exiles,James Joyce,drama,,https://shakespeareandco.princeton.edu/books/joyce-exiles/
http://www.wikidata.org/entity/Q96313091,Gold and Iron,Joseph Hergesheimer,,1918-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/hergesheimer-gold-iron/
http://www.wikidata.org/entity/Q107000085,Java Head,Joseph Hergesheimer,,1918-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/hergesheimer-java-head/
http://www.wikidata.org/entity/Q12100788,Joan and Peter,H. G. Wells,novel,1918-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/wells-joan-peter/
http://www.wikidata.org/entity/Q19029837,Mashi and Other Stories,Rabindranath Tagore,,,https://shakespeareandco.princeton.edu/books/tagore-mashi-stories/
http://www.wikidata.org/entity/Q3515799,Tarr,Wyndham Lewis,novel;modernism,1918-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/lewis-tarr/
http://www.wikidata.org/entity/Q7760466,The Return of the Soldier,Rebecca West,psychological novel;war novel,1918-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/west-return-soldier/
http://www.wikidata.org/entity/Q105823374,The Roll-Call,Arnold Bennett,,1918-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/bennett-roll-call/
http://www.wikidata.org/entity/Q3228235,An Honest Thief,Fyodor Dostoyevsky,short story,1848-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/dostoyevsky-honest-thief/
http://www.wikidata.org/entity/Q5499735,Free Air,Sinclair Lewis,novel,1919-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/lewis-free-air/
http://www.wikidata.org/entity/Q544347,Introduction to Mathematical Philosophy,Bertrand Russell,popular science,,https://shakespeareandco.princeton.edu/books/russell-introduction-mathematical-philosophy/
http://www.wikidata.org/entity/Q3814864,Kew Gardens,Virginia Woolf,short story,1919-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/woolf-kew-gardens/
http://www.wikidata.org/entity/Q6551488,Linda Condon,Joseph Hergesheimer,novel,,https://shakespeareandco.princeton.edu/books/hergesheimer-linda-condon/
http://www.wikidata.org/entity/Q6875108,Misalliance,George Bernard Shaw,,,https://shakespeareandco.princeton.edu/books/shaw-misalliance/
http://www.wikidata.org/entity/Q16387208,My Man Jeeves,P. G. Wodehouse,comedy,1919-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/wodehouse-man-jeeves/
http://www.wikidata.org/entity/Q1610831,Night and Day,Virginia Woolf,novel,1919-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/woolf-night-day/
http://www.wikidata.org/entity/Q56328007,Saint's Progress,John Galsworthy,,1919-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/galsworthy-saints-progress/
http://www.wikidata.org/entity/Q19075587,Ten Days That Shook the World,John Reed,,1919-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/reed-ten-days-shook/
http://www.wikidata.org/entity/Q784886,The American Language,H. L. Mencken,essay,1919-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/mencken-american-language/
http://www.wikidata.org/entity/Q860023,The Arrow of Gold,Joseph Conrad,novel,1919-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/conrad-arrow-gold/
http://www.wikidata.org/entity/Q7719857,The Brass Check,Upton Sinclair,,1919-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/sinclair-brass-check/
http://www.wikidata.org/entity/Q2299605,The Economic Consequences of the Peace,John Maynard Keynes,essay;essay,1919-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/keynes-economic-consequences-peace/
http://www.wikidata.org/entity/Q60072157,The Journal of a Disappointed Man,W. N. P. Barbellion,,1919-07-01 00:00:00,https://shakespeareandco.princeton.edu/books/barbellion-journal-disappointed-man/
http://www.wikidata.org/entity/Q7771428,The Undying Fire,H. G. Wells,novel,,https://shakespeareandco.princeton.edu/books/wells-undying-fire/
http://www.wikidata.org/entity/Q910769,Totem and Taboo,Sigmund Freud,religious studies;psychoanalysis;cultural studies,1913-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/freud-totem-taboo/
http://www.wikidata.org/entity/Q7912511,Valmouth,Ronald Firbank,novel,1919-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/firbank-valmouth/
http://www.wikidata.org/entity/Q4384270,A Voyage to Arcturus,David Lindsay,science fiction novel,1920-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/lindsay-voyage-arcturus/
http://www.wikidata.org/entity/Q1758947,Anna Christie,Eugene O'Neill,drama,1921-11-02 00:00:00,https://shakespeareandco.princeton.edu/books/oneill-anna-christie/
http://www.wikidata.org/entity/Q794360,Beyond the Horizon,Eugene O'Neill,theatre,,https://shakespeareandco.princeton.edu/books/oneill-beyond-horizon/
http://www.wikidata.org/entity/Q5505497,From Ritual to Romance,Jessie Weston,,1920-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/weston-ritual-romance/
http://www.wikidata.org/entity/Q6070722,Irish Fairy Tales,James Stephens,folklore,1920-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/stephens-irish-fairy-tales/
http://www.wikidata.org/entity/Q6549026,Limbo,Aldous Huxley,,1920-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/huxley-limbo/
http://www.wikidata.org/entity/Q246436,Miss Lulu Bett,Zona Gale,novel,1921-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/gale-miss-lulu-bett/
http://www.wikidata.org/entity/Q20895679,Poems,Iris Tree,,1920-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/tree-poems/
http://www.wikidata.org/entity/Q19038860,Poems,Wilfred Owen,,,https://shakespeareandco.princeton.edu/books/owen-poems/
http://www.wikidata.org/entity/Q16979165,Poor White,Sherwood Anderson,novel,1920-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/anderson-poor-white/
http://www.wikidata.org/entity/Q73410381,The Age of Innocence,Edith Wharton,,1920-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/wharton-age-innocence/
http://www.wikidata.org/entity/Q3338169,The Cask,Freeman Wills Crofts,detective fiction,1920-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/crofts-cask/
