uri,title,author,editor,translator,introduction,illustrator,photographer,year,format,uncertain,ebook_url,volumes_issues,notes,event_count,borrow_count,purchase_count,circulation_years,updated,id,exceptional_types,exceptional_counts,original_uri
certain-man,A Certain Man,,,,,,,,,True,,,Unidentified. Bryan T. Holland's *A Certain Man* (1924) or Oliver Onions's *A Certain Man* (1932).,2,2,0,1932;1934,2020-06-03T00:54:46+00:00,certain-man,['sunday_shopers'],[1],https://shakespeareandco.princeton.edu/books/certain-man/
dickens-childs-history-england,A Child's History of England,"Dickens, Charles",,,,,,,Book,False,https://archive.org/details/cu31924027972052/page/n7/mode/2up,,,1,0,1,1939,2020-07-17T01:28:27+00:00,dickens-childs-history-england,,0,https://shakespeareandco.princeton.edu/books/dickens-childs-history-england/
swinburne-2,"A. C. Swinburne, Gosse",,,,,,,,Book,True,,,"Unidentified. Edmund Gosse's *The Life of Algernon Charles Swinburne* (1917); *Selections from A. C. Swinburne,* edited by Edmund Gosse and Thomas James Wise (1919); or *The Letters of Algernon Charles Swinburne,* edited by Edmund Gosse and Thomas James Wise (1918); etc.",1,1,0,1937,2021-11-15T23:18:33.344913+00:00,swinburne-2,['overborrows'],[1],https://shakespeareandco.princeton.edu/books/swinburne-2/
addison,Addison,,,,,,,,,True,,,"Unidentified. By or about Joseph Addison. Lending library card include notation, ""Warne ed.""",1,1,0,1941,2021-11-15T23:08:39.044420+00:00,addison,['overborrows'],[1],https://shakespeareandco.princeton.edu/books/addison/
adrienne-monnier-front,[Adrienne Monnier in front of Shakespeare and Company],,,,,,,,Photograph,False,,,,1,0,0,1958,2020-06-03T18:21:50+00:00,adrienne-monnier-front,['post1942_events'],[1],https://shakespeareandco.princeton.edu/books/adrienne-monnier-front/
adventures-sir-walter,Adventures of Sir Walter Raleigh,,,,,,,,,True,,,"Unidentified. In *Hemingway's Reading 1910–1940* (1981), Michael S. Reynolds suggests that the author is ""perhaps John Buchan, Milton Waldman, or Martin A. S. Hume.""",1,1,0,1929,2021-11-15T21:20:31.820757+00:00,adventures-sir-walter,,0,https://shakespeareandco.princeton.edu/books/adventures-sir-walter/
aeschylus-agamemnon-oedipus,"Agamemnon, Oedipus",Aeschylus;Sophocles,,,,,,,Book,True,,,Unidentified.,1,1,0,1936,2021-11-15T23:08:49.572547+00:00,aeschylus-agamemnon-oedipus,,0,https://shakespeareandco.princeton.edu/books/aeschylus-agamemnon-oedipus/
age-unclear,Age of [unclear],,,,,,,,,True,,,Unidentified. Handwriting unclear.,1,1,0,1938,2021-11-15T20:44:11.008798+00:00,age-unclear,,0,https://shakespeareandco.princeton.edu/books/age-unclear/
unidentified-detective-novel,[a good detective story],,,,,,,,,True,,,"Unidentified. Lending library card includes the note, ""A good detective story not by Agatha Christie or David Frome.""",1,0,0,1938,2020-06-03T00:56:23+00:00,unidentified-detective-novel,,0,https://shakespeareandco.princeton.edu/books/unidentified-detective-novel/
history-england,A History of England,,,,,,,,,True,,,"Unidentified. Andre Maurois's *A History of England,* translated by Hamish Miles (1937); Frederick George Marcham's *A History of England* (1937); or Williams Freeman Galpin's *A History of England* (1938); etc.",1,1,0,1938,2020-06-03T00:48:38+00:00,history-england,['overborrows'],[1],https://shakespeareandco.princeton.edu/books/history-england/
alexander-pope,Alexander Pope,,,,,,,,,True,,,Unidentified. By or about Alexander Pope. Likely Leslie Stephen's [*Alexander Pope*](https://shakespeareandco.princeton.edu/books/stephen-alexander-pope/) (1880) or Edith Sitwell's [*Alexander Pope*](https://shakespeareandco.princeton.edu/books/sitwell-alexander-pope/) (1930).,3,3,0,1930;1933,2021-11-15T23:09:26.665488+00:00,alexander-pope,,0,https://shakespeareandco.princeton.edu/books/alexander-pope/
mencken-americana,Americana,,"Mencken, H. L.",,,,,,Periodical,False,,1926,"An annual, featuring selections from [*The American Mercury*](https://shakespeareandco.princeton.edu/books/mencken-american-mercury/).",2,2,0,1926,2020-06-10T13:35:37+00:00,mencken-americana,,0,https://shakespeareandco.princeton.edu/books/mencken-americana/
american-civil-war,American Civil War,,,,,,,,,True,,,Unidentified.,1,1,0,1937,2020-06-02T22:22:42+00:00,american-civil-war,['overborrows'],[1],https://shakespeareandco.princeton.edu/books/american-civil-war/
american-comedy,American Comedy,,,,,,,,,True,,,Unidentified. Chester Allen Smith's *The American Comedy* (1913) or Harold Lloyd and W. W. Stout's *An American Comedy* (1928).,1,1,0,1938,2020-06-02T22:29:43+00:00,american-comedy,,0,https://shakespeareandco.princeton.edu/books/american-comedy/
american-drama,American Drama,,,,,,,,,True,,,"Unidentified. Lending library card includes the note, ""Guys & Dolls.""",1,1,0,1958,2020-07-03T20:47:21+00:00,american-drama,"['post1942_events', 'unknown_borrows']","[1, 1]",https://shakespeareandco.princeton.edu/books/american-drama/
american-history,American History,,,,,,,,,True,,,Unidentified. Likely William E. Woodward's *A New American History* (1938).,3,3,0,1938;1939,2020-06-02T22:47:56+00:00,american-history,['overborrows'],[2],https://shakespeareandco.princeton.edu/books/american-history/
american-poetry,American Poetry,,,,,,,,,True,,,Unidentified.,1,1,0,1936,2020-06-03T02:49:02+00:00,american-poetry,['overborrows'],[1],https://shakespeareandco.princeton.edu/books/american-poetry/
american-short-stories,American Short Stories,,,,,,,,,True,,,Unidentified. Likely a volume in a short story series edited by Edward J. O'Brien.,2,2,0,1936;1935,2020-06-02T22:48:14+00:00,american-short-stories,,0,https://shakespeareandco.princeton.edu/books/american-short-stories/
amy-lowell,Amy Lowell,,,,,,,,,True,,,Unidentified. By or about Amy Lowell.,1,1,0,1960;1958,2021-11-15T23:09:45.194062+00:00,amy-lowell,"['post1942_events', 'unknown_borrows']","[1, 1]",https://shakespeareandco.princeton.edu/books/amy-lowell/
schnitzler-anatol,Anatol and Other Plays,"Schnitzler, Arthur",,,,,,,Book,False,,,,2,2,0,1932;1926,2020-06-19T01:20:54+00:00,schnitzler-anatol,,0,https://shakespeareandco.princeton.edu/books/schnitzler-anatol/
anatole-france,Anatole France,,,,,,,,,True,,,Unidentified. By or about Anatole France.,1,1,0,1924,2021-11-15T23:09:53.403181+00:00,anatole-france,['overborrows'],[1],https://shakespeareandco.princeton.edu/books/anatole-france/
andre-masson,André Masson,,,,,,,,,True,,,Unidentified.,1,0,0,1958,2020-06-03T02:11:16+00:00,andre-masson,['post1942_events'],[1],https://shakespeareandco.princeton.edu/books/andre-masson/
anglo-saxon-dictionary,Anglo-Saxon Dictionary,,,,,,,,Book,True,,,Unidentified.,7,7,0,1938;1939;1940;1935,2021-11-15T21:49:07.126578+00:00,anglo-saxon-dictionary,,0,https://shakespeareandco.princeton.edu/books/anglo-saxon-dictionary/
anglo-saxon-reader,Anglo-Saxon Reader,,,,,,,,,True,,,Unidentified.,1,1,0,1935,2020-06-02T22:43:59+00:00,anglo-saxon-reader,,0,https://shakespeareandco.princeton.edu/books/anglo-saxon-reader/
angna-enters,Angna Enters,,,,,,,,,True,,,Unidentified. By or about Enters. Likely Angna Enters's *First Person Plural* (1937).,1,1,0,1939,2021-11-15T23:10:01.647956+00:00,angna-enters,['overborrows'],[1],https://shakespeareandco.princeton.edu/books/angna-enters/
ann-bridge,Ann Bridge,,,,,,,,,True,,,Unidentified. By or about Ann Bridge.,1,0,0,,2021-11-15T23:10:32.924137+00:00,ann-bridge,,0,https://shakespeareandco.princeton.edu/books/ann-bridge/
antarctica,Antarctica,,,,,,,,,True,,,Unidentified.,1,1,0,1937;1938,2020-06-02T22:31:32+00:00,antarctica,,0,https://shakespeareandco.princeton.edu/books/antarctica/
anthology-modern-american,Anthology of Modern American Verse,,,,,,,,Book,True,,,"Unidentified. *Modern American Verse,* edited by Roma Claire (1918), or *Modern American Poetry,* edited by Louis Untermeyer (1919).",1,0,1,1939,2020-06-02T22:34:06+00:00,anthology-modern-american,,0,https://shakespeareandco.princeton.edu/books/anthology-modern-american/
