item_id,term,type,source
cooper-deerslayer,Hunters,subject,loc
cooper-deerslayer,Scouting (Reconnaissance),subject,loc
dickens-old-curiosity-shop,Domestic fiction.,genre,loc
dickens-old-curiosity-shop,Fiction,genre,loc
dickens-old-curiosity-shop,Didactic fiction.,genre,loc
dickens-old-curiosity-shop,Grandparent and child,subject,loc
dickens-old-curiosity-shop,Gamblers,subject,loc
dickens-old-curiosity-shop,Girls,subject,loc
dickens-old-curiosity-shop,Antique dealers,subject,loc
dickens-old-curiosity-shop,Grandfathers,subject,loc
burney-diary-letters-madame,Correspondence,genre,loc
burney-diary-letters-madame,Diaries,genre,loc
burney-diary-letters-madame,Court and courtiers,subject,loc
burney-diary-letters-madame,"Novelists, English",subject,loc
macaulay-critical-historical-essays,bibliography,genre,loc
prescott-history-conquest-mexico,text,genre,loc
prescott-history-conquest-mexico,bibliography,genre,loc
prescott-history-conquest-mexico,History,subject,loc
prescott-history-conquest-mexico,Aztecs,subject,loc
prescott-history-conquest-mexico,Indians of Mexico,subject,loc
carlyle-past-present,Social problems,subject,loc
carlyle-past-present,Social conditions,subject,loc
dickens-life-adventures-martin,text,genre,loc
dickens-life-adventures-martin,Fiction,genre,loc
dickens-life-adventures-martin,Description and travel,subject,loc
dickens-life-adventures-martin,Young men,subject,loc
dickens-life-adventures-martin,Avarice,subject,loc
dickens-life-adventures-martin,Grandfathers,subject,loc
dickens-life-adventures-martin,British,subject,loc
thackeray-memoirs-barry-lyndon,Satire.,genre,loc
thackeray-memoirs-barry-lyndon,Humorous fiction.,genre,loc
thackeray-memoirs-barry-lyndon,Fiction,subject,loc
thackeray-memoirs-barry-lyndon,Gamblers,subject,loc
thackeray-memoirs-barry-lyndon,Rogues and vagabonds,subject,loc
thackeray-memoirs-barry-lyndon,Irish,subject,loc
darwin-naturalists-voyage-round,Description and travel,subject,loc
darwin-naturalists-voyage-round,Voyages around the world,subject,loc
darwin-naturalists-voyage-round,Geology,subject,loc
darwin-naturalists-voyage-round,Natural history,subject,loc
lear-book-nonsense,English poetry,subject,loc
lear-book-nonsense,Nonsense verses,subject,loc
lear-book-nonsense,Nonsense songs,subject,loc
lear-book-nonsense,"Nonsense verses, English",subject,loc
lear-book-nonsense,Limericks,subject,loc
hawthorne-mosses-old-manse,Fiction,genre,loc
hawthorne-mosses-old-manse,Social life and customs,subject,loc
dickens-pictures-italy,Description and travel,subject,loc
bronte-agnes-grey,Fiction,genre,loc
bronte-agnes-grey,Feminist fiction.,genre,loc
bronte-agnes-grey,Autobiographical fiction.,genre,loc
bronte-agnes-grey,Single women,subject,loc
bronte-agnes-grey,Governesses,subject,loc
bronte-jane-eyre,Drama,genre,loc
marryat-children-new-forest,bibliography,genre,loc
marryat-children-new-forest,Fiction,subject,loc
marryat-children-new-forest,Orphans,subject,loc
marryat-children-new-forest,History,subject,loc
thackeray-vanity-fair,Fiction,genre,loc
thackeray-vanity-fair,Satire.,genre,loc
thackeray-vanity-fair,Adaptations,genre,loc
thackeray-vanity-fair,"Waterloo, Battle of, Waterloo, Belgium, 1815",subject,loc
thackeray-vanity-fair,Female friendship,subject,loc
thackeray-vanity-fair,British,subject,loc
thackeray-vanity-fair,Social classes,subject,loc
thackeray-vanity-fair,Married women,subject,loc
bronte-wuthering-heights,Fiction,genre,loc
bronte-wuthering-heights,bibliography,genre,loc
bronte-wuthering-heights,Study guides,genre,loc
bronte-wuthering-heights,Love stories.,genre,loc
bronte-wuthering-heights,Revenge,subject,loc
bronte-wuthering-heights,Examinations,subject,loc
bronte-wuthering-heights,Triangles (Interpersonal relations),subject,loc
dickens-dombey,Fiction,genre,loc
dickens-dombey,text,genre,loc
dickens-dombey,Domestic fiction.,genre,loc
dickens-dombey,Fathers and daughters,subject,loc
dickens-dombey,Family-owned business enterprises,subject,loc
dickens-dombey,Dysfunctional families,subject,loc
dickens-dombey,Businesspeople,subject,loc
bronte-tenant-wildfell-hall,Fiction,genre,loc
bronte-tenant-wildfell-hall,Domestic fiction.,genre,loc
bronte-tenant-wildfell-hall,Fiction,subject,loc
bronte-tenant-wildfell-hall,Alcoholics,subject,loc
bronte-tenant-wildfell-hall,Married women,subject,loc
bronte-tenant-wildfell-hall,Landlord and tenant,subject,loc
smith-dictionary-greek-roman,dictionary,genre,loc
smith-dictionary-greek-roman,biography,genre,loc
smith-dictionary-greek-roman,Classical dictionaries,subject,loc
smith-dictionary-greek-roman,Biography,subject,loc
bronte-shirley,Historical fiction.,genre,loc
bronte-shirley,"Napoleonic Wars, 1800-1815",subject,loc
bronte-shirley,Textile industry,subject,loc
bronte-shirley,Fiction,subject,loc
