,id,type,counts
427,brown-body-bedford-square,overborrows,1
428,brown-h-g-wells,overborrows,1
429,brown-mr-pinkerton-finds,overborrows,4
430,brown-mr-pinkerton-grows,overborrows,2
431,browne-may-week-murders,overborrows,4
432,browne-religio-medici,overborrows,1
433,browne-sir-thomas-brownes,overborrows,1
434,browne-vulgar-errors-pseudodoxia,overborrows,1
435,browne-vulgar-errors-pseudodoxia,sunday_shopers,1
436,browning-letters-robert-browning,post1942_events,1
437,browning-letters-robert-browning,unknown_borrows,1
438,browning-poetical-works-elizabeth,overborrows,1
439,brownings-works,post1942_events,1
440,brownings-works,unknown_borrows,1
441,bryher-fourteenth-october,post1942_events,2
442,bryher-heart-artemis-writers,post1942_events,1
443,bryher-players-boy,post1942_events,1
444,bryner-bridegroom-tarried,overborrows,1
445,buchan-castle-gay,overborrows,1
446,buchan-dancing-floor,overborrows,1
447,buchan-gap-curtain,overborrows,1
448,buchan-house-four-winds,overborrows,3
449,buchan-huntingtower,overborrows,1
450,buck-case-foreign-missions,overborrows,1
451,buck-east-wind-west,overborrows,1
452,buck-exile,overborrows,2
453,buck-fighting-angel,overborrows,1
454,buck-fighting-angel,unknown_borrows,1
455,buck-first-wife-stories,overborrows,1
456,buck-gods-american-legend,overborrows,3
457,buck-good-earth,overborrows,7
458,buck-house-divided,overborrows,1
459,buck-mother,unknown_borrows,2
460,buck-patriot,overborrows,8
461,buck-patriot,post1942_events,2
462,buck-patriot,sunday_shopers,1
463,buck-sons,overborrows,4
464,budgen-james-joyce-making,overborrows,2
465,budgen-james-joyce-making,sunday_shopers,1
466,buffalo-child-long-lance-long-lance,overborrows,2
467,bulwer-lytton-rienzi-last-roman,overborrows,1
468,bunyan-pilgrims-progress,overborrows,1
469,burdett-two-carlyles,overborrows,1
470,burke-limehouse-nights-tales,overborrows,1
471,burke-nights-town,overborrows,1
472,burnett-little-lord-fauntleroy,post1942_events,1
473,burnett-sara-crewe-happened,overborrows,1
474,burnett-sara-crewe-happened,post1942_events,1
475,burnett-story,overborrows,1
476,burnett-story-anthology-1931,overborrows,2
477,burney-diary-fanny-burney,overborrows,2
478,burney-diary-letters-madame,overborrows,3
479,burney-evelina-history-young,overborrows,1
480,burney-story-fanny-burney,overborrows,5
481,burnham-symposium-critical-review,overborrows,3
482,burroughs-whitman-study,overborrows,1
483,bury-invasion-europe-barbarians,sunday_shopers,1
484,bush-case-missing-minutes,overborrows,2
485,bush-wedding-night-murder,overborrows,6
486,bush-wedding-night-murder,sunday_shopers,1
487,butler-alps-sanctuaries-piedmont,overborrows,1
488,butler-erewhon-revisited-twenty,overborrows,2
489,butler-hudibras,unknown_borrows,1
490,butler-humour-homer-essays,unknown_borrows,1
491,butler-note-books-samuel,overborrows,1
492,butler-note-books-samuel,post1942_events,1
493,butler-note-books-samuel,unknown_borrows,1
494,butler-vie-habitude,post1942_events,1
